1 20081009 2.8
99 20090115 2.5
128 20090213 2.8
189 20090415 3.3
189 20090415 3.0
215 20090511 2.7
248 20090613 2.1
282 20090717 2.6
282 20090717 2.5
327 20090831 3.1
349 20090922 2.4
352 20090925 3.1
387 20091030 3.1
410 20091122 3.7
495 20100215 3.3
497 20100217 3.1
514 20100306 3.7
514 20100306 4.5
514 20100306 3.6
514 20100306 3.2
515 20100307 3.2
530 20100322 3.0
548 20100409 3.1
621 20100621 3.1
663 20100802 2.6
697 20100905 2.8
783 20101130 3.0
795 20101212 3.1
851 20110206 2.0
851 20110206 2.1
852 20110207 2.0
871 20110226 2.7
880 20110307 3.1
1062 20110905 3.5
1149 20111201 2.8
1152 20111204 2.7
1160 20111212 3.7
1171 20111223 3.4
1207 20120128 2.2
1276 20120406 2.9
1284 20120414 3.5
1291 20120421 3.3
1294 20120424 2.8
1298 20120428 2.9
1328 20120528 5.0
1329 20120529 3.6
1341 20120610 2.8
1349 20120618 4.3
1418 20120826 4.0
1509 20121125 2.9
1553 20130108 3.3
1556 20130111 3.2
1587 20130211 2.3
1646 20130411 2.2
1668 20130503 2.9
1689 20130524 3.0
1695 20130530 2.7
1728 20130702 2.9
1760 20130803 3.3
1845 20131027 3.9
1881 20131202 3.0
1924 20140114 3.3
1928 20140118 2.7
1999 20140330 2.3
2095 20140704 2.1
2174 20140921 3.1
2197 20141014 4.0
2265 20141221 2.5
2269 20141225 3.3
2273 20141229 3.4
2302 20150127 2.7
2306 20150131 3.2
2334 20150228 3.4
2339 20150305 3.5
2356 20150322 3.3
2371 20150406 2.7
2383 20150418 3.2
2383 20150418 3.2
2384 20150419 3.6
2448 20150622 2.8
